candidate	oos_n	retention	oos_wr	pps_cents	usd_per_trade50	worst_fold_cents
combo_eff6ge_x_cntle	1468	0.406	0.5572	2.973	2.914	-3.333
eff6	2223	0.614	0.5452	1.772	1.737	-5.924
evcount	1907	0.527	0.5385	1.105	1.083	-4.833
eff12	1566	0.433	0.5351	0.763	0.748	-5.043
_latentfire_eff12le048	2792	0.771	0.5297	0.223	0.219	-5.918
_ungated	3619	1.0	0.5292	0.166	0.163	-5.022
eff24	1894	0.523	0.5269	-0.057	-0.055	-3.94
atrpct	2200	0.608	0.5264	-0.113	-0.111	-5.169
volratio	2285	0.631	0.526	-0.145	-0.143	-4.351
combo_eff12_x_vr	1400	0.387	0.5257	-0.178	-0.174	-5.874
combo_eff24_x_vr	1908	0.527	0.5215	-0.6	-0.589	-4.535
rangecomp	2272	0.628	0.5194	-0.813	-0.797	-6.822
minsince	2400	0.663	0.5096	-1.791	-1.756	-4.672
